Country Code,le_1990,le_2023,gdp_1990,gdp_2023,pop_1990,pop_2023,Country,OWID Region,Color
IND,58.618,72.003,2203.14703867968,9160.06365370888,864972221,1438069596,India,Asia,green
CHN,68.155,77.953,1645.57894422689,22137.5998277466,1135185000,1410710000,China,Asia,green
USA,75.2146341463415,78.3853658536585,44378.5240269919,74577.5065396723,249623000,334914895,United States,North America,cyan
IDN,63.249,71.146,4873.05380133263,13889.8828825663,183501098,281190067,Indonesia,Asia,green
PAK,59.728,67.649,3199.72962609833,5439.18762006677,116155576,247504495,Pakistan,Asia,green
NGA,45.733,54.462,3650.67300166823,5593.05661448231,97120925,227882945,Nigeria,Africa,yellow
BRA,65.862,75.848,12633.288457041,19018.2390697496,149143223,211140729,Brazil,South America,red
BGD,55.822,74.672,2069.78230100672,8242.39798977242,111633717,171466990,Bangladesh,Asia,green
RUS,68.8860975609756,73.2546341463415,29945.146484375,39753.45703125,147969406,143826130,Russia,Europe,blue
MEX,69.034,75.069,17169.5925872661,21880.3277706628,82820170,129739759,Mexico,North America,cyan
ETH,45.117,67.315,874.346891442491,2755.45709577808,47609755,128691692,Ethiopia,Africa,yellow
JPN,78.8370731707317,84.0412195121951,35279.9221796985,45915.353682577,123478000,124516650,Japan,Asia,green
PHL,64.382,69.833,4504.46230383567,9901.05652395692,62854666,114891199,Philippines,Asia,green
EGY,62.513,71.633,8006.62143741369,16691.1332373374,58396618,114535772,Egypt,Africa,yellow
COD,48.538,61.895,2172.00159744544,1455.8356229714,36684063,105789731,Democratic Republic of Congo,Africa,yellow
VNM,69.027,74.588,2467.96460080463,13491.879417397,65504552,100352192,Vietnam,Asia,green
IRN,64.066,77.654,9046.58484470857,15912.0299184195,58380092,90608707,Iran,Asia,green
TUR,67.835,77.156,12010.248481128,34282.5365042547,56015628,85325965,Turkey,Asia,green
DEU,75.0856341463415,80.5414634146342,42373.5294910572,63154.6748740201,79433029,83280000,Germany,Europe,blue
THA,68.924,76.412,8701.64487129587,21142.6643331162,54738329,71702435,Thailand,Asia,green
GBR,75.8804878048781,81.2380975609756,34307.9389114284,52582.0612138594,57247586,68350000,United Kingdom,Europe,blue
FRA,76.6,82.9292682926829,38655.885692544,54017.8741632485,58261012,68287487,France,Europe,blue
TZA,51.985,66.995,1794.20458984375,3620.79345703125,26110207,66617606,Tanzania,Africa,yellow
ZAF,62.942,66.139,10824.3847590107,13690.3894584515,40746268,63212384,South Africa,Africa,yellow
ITA,76.9707317073171,83.7,42656.7445354302,52636.2871475385,56719240,58993475,Italy,Europe,blue
KEN,58.334,63.646,4177.48603310346,5682.98916248678,22892651,55339003,Kenya,Africa,yellow
MMR,57.159,66.889,775.328254381946,5364.13797034407,39817251,54133798,Myanmar,Asia,green
COL,68.701,77.725,9998.81069684463,18357.6446425686,32440069,52321152,Colombia,South America,red
KOR,71.5975609756098,83.4292682926829,13839.9889843663,50414.2083391764,42869283,51712619,South Korea,Asia,green
SDN,55.497,66.331,2460.18872070313,2469.19458007813,22021481,50042791,Sudan,Africa,yellow
UGA,47.561,68.252,1080.03830980398,2791.05576885861,17569897,48656601,Uganda,Africa,yellow
ESP,76.8375609756098,83.8829268292683,31773.2267474318,47341.171810559,38867322,48347910,Spain,Europe,blue
DZA,67.658,76.261,11728.5457286202,15159.324237194,25375810,46164219,Algeria,Africa,yellow
ARG,71.615,77.395,17007.2844317191,27104.9799978169,32755901,45538401,Argentina,South America,red
IRQ,57.587,72.324,10735.09411029,12711.0616746745,17581206,45074049,Iraq,Asia,green
CAN,77.4365853658537,81.6465853658537,40429.9922862543,56714.1999131081,27691138,40097761,Canada,North America,cyan
UKR,70.354,73.422,22815.798828125,15885.2255859375,52054092,37732836,Ukraine,Europe,blue
MAR,62.396,75.313,4418.66015625,8868.7119140625,24375551,37712505,Morocco,Africa,yellow
AGO,41.854,64.617,7391.75235368345,7244.89305295156,11626360,36749906,Angola,Africa,yellow
POL,70.890243902439,78.5073170731707,12821.4636316574,43624.5074099548,38110782,36687353,Poland,Europe,blue
UZB,65.772,72.388,4214.58399747329,10007.6855026198,20464956,35652307,Uzbekistan,Asia,green
MYS,70.952,76.657,12013.6969483112,32812.2997525336,17833171,35126298,Malaysia,Asia,green
PER,63.979,77.74,6318.20326234261,15294.2567811201,22014771,33845617,Peru,South America,red
GHA,55.395,65.498,2785.67114332501,6796.47361923819,15394648,33787914,Ghana,Africa,yellow
MOZ,44.337,63.611,547.622781432196,1511.63653474992,13094537,33635160,Mozambique,Africa,yellow
SAU,68.874,78.732,60101.5756256924,55055.3996823571,10640691,33264292,Saudi Arabia,Asia,green
MDG,52.14,63.632,1975.1465684083,1643.30934795137,12055639,31195932,Madagascar,Africa,yellow
CIV,52.796,61.944,5255.50962638401,6485.31584901747,12189778,31165654,Cote d'Ivoire,Africa,yellow
NPL,54.771,70.354,1808.26490041654,4859.80010436735,19524573,29694614,Nepal,Asia,green
CMR,54.348,63.7,4517.61887779618,4870.57076514365,11331821,28372687,Cameroon,Africa,yellow
AUS,76.9946341463415,83.0512195121951,36205.2747932163,60447.1608783424,17065128,26658948,Australia,Oceania,magenta
NER,41.732,61.183,1411.84892200281,1703.39693250647,8286059,26159867,Niger,Africa,yellow
MLI,46.541,60.439,1473.79429834892,2394.67216396924,9178830,23769127,Mali,Africa,yellow
BFA,49.315,61.092,1107.85590454965,2482.07225343805,9159356,23025776,Burkina Faso,Africa,yellow
LKA,69.239,77.483,4561.57913261438,13029.523937847,16352458,22037000,Sri Lanka,Asia,green
MWI,43.575,67.353,1047.46436351132,1648.43651796379,9545852,21104482,Malawi,Africa,yellow
ZMB,48.204,66.349,2425.11128678382,3673.4841969922,7786169,20723965,Zambia,Africa,yellow
KAZ,65.701,74.402,16837.690749004,34703.2349286604,17154054,20330104,Kazakhstan,Asia,green
CHL,73.675,81.167,11065.1018519279,29464.8961488736,13437176,19658835,Chile,South America,red
TCD,45.074,55.069,1237.94231691754,1679.4615323912,5982833,19319064,Chad,Africa,yellow
ROU,69.7412195121951,76.6073170731707,16316.0371769874,40303.8343457308,23201835,19059479,Romania,Europe,blue
GTM,61.767,72.602,7597.36983577074,12389.385871782,9024773,18124838,Guatemala,North America,cyan
SEN,56.674,68.683,2923.34412469673,4317.2263915953,7720523,18077573,Senegal,Africa,yellow
ECU,68.445,77.392,9093.61180260214,14472.3165053895,10473673,17980083,Ecuador,South America,red
NLD,76.8780487804878,81.9146341463415,43128.3126671388,70673.9689450138,14951510,17877117,Netherlands,Europe,blue
KHM,55.205,70.668,2646.09798836687,6690.58942585792,7374752,17423880,Cambodia,Asia,green
ZWE,58.319,62.775,4013.29905875289,3442.25132658294,10137281,16340822,Zimbabwe,Africa,yellow
GIN,47.252,60.74,2105.74729496232,3949.34013510824,6434374,14405468,Guinea,Africa,yellow
BEN,53.02,60.774,2207.06796428357,3721.2245272339,5281479,14111034,Benin,Africa,yellow
RWA,47.763,67.785,1122.032403267,3060.02893126731,7375307,13954471,Rwanda,Africa,yellow
BDI,45.184,63.651,1396.07762688916,828.861074309521,5587052,13689450,Burundi,Africa,yellow
BOL,56.797,68.581,5124.48798003521,9843.97014174079,7130142,12244159,Bolivia,South America,red
TUN,69.092,76.508,6705.20028070929,12552.9866903456,8324509,12200431,Tunisia,Africa,yellow
BEL,76.0519512195122,82.3975609756098,41658.4327142657,62933.096004294,9967379,11787423,Belgium,Europe,blue
HTI,53.215,64.936,3946.36564580421,2956.46213701659,6854441,11637398,Haiti,North America,cyan
JOR,70.094,77.814,7589.82020149345,9362.58776056423,3621908,11439213,Jordan,Asia,green
